Sample 00001: {'mpuData': {'accelX': 39424, 'accelY': 14870, 'accelZ': 11035}, 'adcData': {'adcX': 0, 'adcY': 18946, 'adcZ': 58120}}
Sample 00002: {'mpuData': {'accelX': 38656, 'accelY': 19734, 'accelZ': 63258}, 'adcData': {'adcX': 0, 'adcY': 38153, 'adcZ': 10510}}
Sample 00003: {'mpuData': {'accelX': 39680, 'accelY': 17942, 'accelZ': 10523}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00004: {'mpuData': {'accelX': 37632, 'accelY': 14870, 'accelZ': 4123}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 31238}}
Sample 00005: {'mpuData': {'accelX': 41984, 'accelY': 14358, 'accelZ': 62746}, 'adcData': {'adcX': 0, 'adcY': 17666, 'adcZ': 59656}}
Sample 00006: {'mpuData': {'accelX': 40448, 'accelY': 20502, 'accelZ': 15387}, 'adcData': {'adcX': 0, 'adcY': 31497, 'adcZ': 5390}}
Sample 00007: {'mpuData': {'accelX': 47104, 'accelY': 16406, 'accelZ': 24603}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00008: {'mpuData': {'accelX': 47872, 'accelY': 12054, 'accelZ': 3355}, 'adcData': {'adcX': 0, 'adcY': 1536, 'adcZ': 34054}}
Sample 00009: {'mpuData': {'accelX': 41728, 'accelY': 15894, 'accelZ': 55322}, 'adcData': {'adcX': 0, 'adcY': 20994, 'adcZ': 60680}}
Sample 00010: {'mpuData': {'accelX': 49408, 'accelY': 18198, 'accelZ': 3355}, 'adcData': {'adcX': 0, 'adcY': 34057, 'adcZ': 6670}}
Sample 00011: {'mpuData': {'accelX': 45568, 'accelY': 20502, 'accelZ': 65050}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00012: {'mpuData': {'accelX': 40704, 'accelY': 23574, 'accelZ': 1051}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 29702}}
